iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
ECU,2022,Winter,0.0,0.0,0.0,0.0,0,Ecuador,17823897.0,116133121000.0,6515.58528418336,76.577,96.2600021362305,3.761
EGY,2022,Winter,0.0,0.0,0.0,0.0,0,"Egypt, Arab Rep.",112618250.0,476747720364.742,4233.30783744856,71.01,79.4565788949049,7.344
ETH,2022,Winter,0.0,0.0,0.0,0.0,0,Ethiopia,125384287.0,126772707851.339,1011.07332413462,66.897,60.4599990844727,3.409
FJI,2022,Winter,0.0,0.0,0.0,0.0,0,Fiji,919422.0,4969503549.32096,5405.03006162671,67.148,,4.446
GEO,2022,Winter,0.0,0.0,0.0,0.0,0,Georgia,3712502.0,24984568959.605,6729.84659930283,74.141,99.5699996948242,11.647
GHA,2022,Winter,0.0,0.0,0.0,0.0,0,Ghana,33149152.0,73919003209.9866,2229.89122647803,65.246,,3.084
GRC,2022,Winter,0.0,0.0,0.0,0.0,0,Greece,10436882.0,218880566444.349,20971.8349258283,80.7878048780488,,12.426
GRD,2022,Winter,0.0,0.0,0.0,0.0,0,Grenada,116913.0,1231732103.7037,10535.4588771454,75.151,,
HKG,2022,Winter,0.0,0.0,0.0,0.0,0,"Hong Kong SAR, China",7346100.0,358679533984.718,48825.8441873536,83.6609756097561,,4.318
IND,2022,Winter,0.0,0.0,0.0,0.0,0,India,1425423212.0,3346107287730.93,2347.44829434623,71.698,76.3199996948242,4.822
IDN,2022,Winter,0.0,0.0,0.0,0.0,0,Indonesia,278830529.0,1319101183380.15,4730.83484836107,70.925,,3.462
IRL,2022,Winter,0.0,0.0,0.0,0.0,0,Ireland,5212836.0,548570250341.987,105234.511567597,82.509756097561,,4.501
IRN,2022,Winter,0.0,0.0,0.0,0.0,0,"Iran, Islamic Rep.",89524246.0,394362621793.035,4405.09291519791,76.799,88.5939994931719,9.085
ISR,2022,Winter,0.0,0.0,0.0,0.0,0,Israel,9557500.0,525181008025.57,54949.621556429,82.7,,3.695
JAM,2022,Winter,0.0,0.0,0.0,0.0,0,Jamaica,2839144.0,17097760686.7775,6022.15339791763,71.481,,4.083
JOR,2022,Winter,0.0,0.0,0.0,0.0,0,Jordan,11256263.0,48764963380.2817,4332.25159897931,77.088,,18.2
KAZ,2022,Winter,0.0,0.0,0.0,0.0,0,Kazakhstan,20034609.0,225496328925.494,11255.3396437881,73.503,,4.86
KEN,2022,Winter,0.0,0.0,0.0,0.0,0,Kenya,54252461.0,114448978152.637,2109.56288513137,63.549,,5.707
SRB,2022,Winter,0.0,0.0,0.0,0.0,0,Kosovo,1768096.0,9354903061.8898,5290.94747224687,77.623,,
SRB,2022,Winter,0.0,0.0,0.0,0.0,0,Serbia,6664449.0,66797564758.339,10022.9688543402,75.2365853658537,99.3399963378906,8.439
KWT,2022,Winter,0.0,0.0,0.0,0.0,0,Kuwait,4589643.0,183502046669.15,39981.7690981957,80.5878048780488,,2.174
KGZ,2022,Winter,0.0,0.0,0.0,0.0,0,Kyrgyz Republic,6975220.0,12134931017.9465,1739.72018344174,72.0487804878049,,4.043
LTU,2022,Winter,0.0,0.0,0.0,0.0,0,Lithuania,2831639.0,71033884499.7824,25085.784063499,75.6439024390244,,5.955
MYS,2022,Winter,0.0,0.0,0.0,0.0,0,Malaysia,34695493.0,407605841348.235,11748.0919307944,75.444,95.7699966430664,3.93
MEX,2022,Winter,0.0,0.0,0.0,0.0,0,Mexico,128613117.0,1466464899303.68,11402.1410374782,73.973,95.8486603965766,3.256
MDA,2022,Winter,0.0,0.0,0.0,0.0,0,Moldova,2528654.0,14525337523.7271,5744.29618434435,71.546,,0.897
MNG,2022,Winter,0.0,0.0,0.0,0.0,0,Mongolia,3433748.0,17146471713.748,4993.51487463495,71.9007317073171,98.7300033569336,6.211
MAR,2022,Winter,0.0,0.0,0.0,0.0,0,Morocco,37329064.0,130951926351.241,3455.39624023438,75.161,,9.494
NAM,2022,Winter,0.0,0.0,0.0,0.0,0,Namibia,2889662.0,12569449123.3661,4349.79908493314,64.19,,19.695
