country,year,games_type,iso3,actual_medals,predicted_medals,predicted_proba,error,abs_error
Lithuania,2022,Winter,LTU,0.0,5.68278694152832,0.7839805,-5.68278694152832,5.68278694152832
Malaysia,2022,Winter,MYS,0.0,0.0,0.15578221,0.0,0.0
Mexico,2022,Winter,MEX,0.0,2.3776192665100098,0.75212336,-2.3776192665100098,2.3776192665100098
Moldova,2022,Winter,MDA,0.0,0.0,0.019433068,0.0,0.0
Mongolia,2022,Winter,MNG,0.0,0.0,0.031952802,0.0,0.0
Morocco,2022,Winter,MAR,0.0,0.0,0.52015984,0.0,0.0
Namibia,2022,Winter,NAM,0.0,0.0,0.067154795,0.0,0.0
Niger,2022,Winter,NGA,0.0,0.0,0.0052666045,0.0,0.0
Nigeria,2022,Winter,NGA,0.0,0.0,0.04183662,0.0,0.0
North Macedonia,2022,Winter,MKD,0.0,0.0,0.10417783,0.0,0.0
Philippines,2022,Winter,PHL,0.0,5.523740768432617,0.96267176,-5.523740768432617,5.523740768432617
Portugal,2022,Winter,PRT,0.0,0.0,0.5235876,0.0,0.0
,2022,Winter,PRI,0.0,0.0,0.026518386,0.0,0.0
Qatar,2022,Winter,QAT,0.0,0.0,0.092752926,0.0,0.0
Romania,2022,Winter,ROU,0.0,4.4969000816345215,0.93369406,-4.4969000816345215,4.4969000816345215
San Marino,2022,Winter,SMR,0.0,0.0,0.0072027603,0.0,0.0
Saudi Arabia,2022,Winter,SAU,0.0,8.75564956665039,0.9911141,-8.75564956665039,8.75564956665039
South Africa,2022,Winter,ZAF,0.0,0.0,0.5766096,0.0,0.0
Syrian Arab Republic,2022,Winter,SYR,0.0,0.0,0.67297715,0.0,0.0
Thailand,2022,Winter,THA,0.0,0.0,0.07503702,0.0,0.0
Tunisia,2022,Winter,TUN,0.0,0.0,0.65070695,0.0,0.0
Turkiye,2022,Winter,TUR,0.0,13.412567138671875,0.9687412,-13.412567138671875,13.412567138671875
Turkmenistan,2022,Winter,TKM,0.0,0.0,0.05678345,0.0,0.0
Uganda,2022,Winter,UGA,0.0,3.0767643451690674,0.8728144,-3.0767643451690674,3.0767643451690674
Uzbekistan,2022,Winter,UZB,0.0,0.0,0.18083766,0.0,0.0
"Venezuela, RB",2022,Winter,VEN,0.0,3.6987063884735107,0.8177043,-3.6987063884735107,3.6987063884735107
Liechtenstein,2022,Winter,LIE,0.0,0.0,0.03299941,0.0,0.0
Algeria,2022,Winter,DZA,0.0,3.3803114891052246,0.7577383,-3.3803114891052246,3.3803114891052246
Burundi,2022,Winter,BDI,0.0,0.0,0.003397731,0.0,0.0
Singapore,2022,Winter,SGP,0.0,6.518352508544922,0.9556835,-6.518352508544922,6.518352508544922
Tajikistan,2022,Winter,TJK,0.0,2.599208116531372,0.82548565,-2.599208116531372,2.599208116531372
Trinidad and Tobago,2022,Winter,TTO,0.0,0.0,0.6221298,0.0,0.0
United Arab Emirates,2022,Winter,ARE,0.0,0.0,0.21436298,0.0,0.0
Viet Nam,2022,Winter,VNM,0.0,0.0,0.16683516,0.0,0.0
Afghanistan,2022,Winter,AFG,0.0,0.0,0.04196798,0.0,0.0
Cameroon,2022,Winter,CMR,0.0,0.0,0.2714037,0.0,0.0
Cyprus,2022,Winter,CYP,0.0,0.0,0.31032714,0.0,0.0
Gabon,2022,Winter,GAB,0.0,0.0,0.3356459,0.0,0.0
Guatemala,2022,Winter,GTM,0.0,0.0,0.018829906,0.0,0.0
Montenegro,2022,Winter,MNE,0.0,0.0,0.09874356,0.0,0.0
Chile,2022,Winter,CHL,0.0,0.0,0.52330846,0.0,0.0
Iceland,2022,Winter,ISL,0.0,0.0,0.08211989,0.0,0.0
Mauritius,2022,Winter,MUS,0.0,0.0,0.4309356,0.0,0.0
Panama,2022,Winter,PAN,0.0,0.0,0.2514307,0.0,0.0
Samoa,2022,Winter,WSM,0.0,0.0,0.018947575,0.0,0.0
Sudan,2022,Winter,SDN,0.0,0.0,0.45631856,0.0,0.0
Togo,2022,Winter,TGO,0.0,0.0,0.002318211,0.0,0.0
Zimbabwe,2022,Winter,ZWE,0.0,0.0,0.19890924,0.0,0.0
Eritrea,2022,Winter,ERI,0.0,0.0,0.42692986,0.0,0.0
Paraguay,2022,Winter,PRY,0.0,0.0,0.5914764,0.0,0.0
Barbados,2022,Winter,BRB,0.0,0.0,0.073486604,0.0,0.0
Costa Rica,2022,Winter,CRI,0.0,0.0,0.66018045,0.0,0.0
Mozambique,2022,Winter,MOZ,0.0,0.0,0.009435942,0.0,0.0
Sri Lanka,2022,Winter,LKA,0.0,0.0,0.018081903,0.0,0.0
Uruguay,2022,Winter,URY,0.0,0.0,0.02201769,0.0,0.0
Tonga,2022,Winter,TON,0.0,0.0,0.030567734,0.0,0.0
Zambia,2022,Winter,ZMB,0.0,0.0,0.015441506,0.0,0.0
Pakistan,2022,Winter,PAK,0.0,6.897879600524902,0.9540406,-6.897879600524902,6.897879600524902
Peru,2022,Winter,PER,0.0,3.633171796798706,0.7807381,-3.633171796798706,3.633171796798706
Suriname,2022,Winter,SUR,0.0,0.0,0.0090435175,0.0,0.0
Luxembourg,2022,Winter,LUX,0.0,0.0,0.03597416,0.0,0.0
Djibouti,2022,Winter,DJI,0.0,0.0,0.0047857645,0.0,0.0
Senegal,2022,Winter,SEN,0.0,2.8149759769439697,0.75591874,-2.8149759769439697,2.8149759769439697
,2022,Winter,VIR,0.0,0.0,0.026518386,0.0,0.0
Guyana,2022,Winter,GUY,0.0,0.0,0.19994186,0.0,0.0
Lebanon,2022,Winter,LBN,0.0,0.0,0.5939688,0.0,0.0
Tanzania,2022,Winter,TZA,0.0,0.0,0.016653698,0.0,0.0
Iraq,2022,Winter,IRQ,0.0,0.0,0.64190006,0.0,0.0
Haiti,2022,Winter,HTI,0.0,0.0,0.107343405,0.0,0.0
Monaco,2022,Winter,MCO,0.0,0.0,0.028357683,0.0,0.0
Nepal,2022,Winter,NPL,0.0,0.0,0.70001644,0.0,0.0
Australia,2020,Summer,AUS,46.0,39.63616180419922,0.98988473,6.363838195800781,6.363838195800781
Austria,2020,Summer,AUT,7.0,17.390798568725586,0.9662248,-10.390798568725586,10.390798568725586
Belarus,2020,Summer,BLR,7.0,6.498814582824707,0.92882955,0.501185417175293,0.501185417175293
Belgium,2020,Summer,BEL,7.0,14.552644729614258,0.98193926,-7.552644729614258,7.552644729614258
Canada,2020,Summer,CAN,24.0,19.133651733398438,0.99406505,4.8663482666015625,4.8663482666015625
Czechia,2020,Summer,CZE,11.0,7.307522773742676,0.976596,3.692477226257324,3.692477226257324
Estonia,2020,Summer,EST,2.0,2.6508991718292236,0.9151633,-0.6508991718292236,0.6508991718292236
Finland,2020,Summer,FIN,2.0,3.033482789993286,0.9010088,-1.0334827899932861,1.0334827899932861
France,2020,Summer,FRA,33.0,31.387619018554688,0.9961671,1.6123809814453125,1.6123809814453125
Germany,2020,Summer,DEU,37.0,17.699460983276367,0.9950964,19.300539016723633,19.300539016723633
Hungary,2020,Summer,HUN,20.0,6.6875410079956055,0.9394765,13.312458992004395,13.312458992004395
Italy,2020,Summer,ITA,40.0,24.339941024780273,0.99673766,15.660058975219727,15.660058975219727
Japan,2020,Summer,JPN,58.0,18.121822357177734,0.9917528,39.878177642822266,39.878177642822266
Latvia,2020,Summer,LVA,2.0,3.876373767852783,0.9302993,-1.8763737678527832,1.8763737678527832
Curacao,2020,Summer,NLD,36.0,7.317113399505615,0.79535204,28.682886600494385,28.682886600494385
Netherlands,2020,Summer,NLD,36.0,16.428813934326172,0.9828507,19.571186065673828,19.571186065673828
New Zealand,2020,Summer,NZL,20.0,3.806581497192383,0.89182824,16.193418502807617,16.193418502807617
Norway,2020,Summer,NOR,8.0,4.6501030921936035,0.95860595,3.3498969078063965,3.3498969078063965
China,2020,Summer,CHN,89.0,80.06449890136719,0.9897593,8.935501098632812,8.935501098632812
Poland,2020,Summer,POL,14.0,16.19554328918457,0.9791266,-2.1955432891845703,2.1955432891845703
Russian Federation,2020,Summer,RUS,71.0,71.71407318115234,0.99531794,-0.7140731811523438,0.7140731811523438
"Korea, Dem. People's Rep.",2020,Summer,PRK,20.0,9.75883674621582,0.92997056,10.24116325378418,10.24116325378418
Slovak Republic,2020,Summer,SVK,4.0,3.98484206199646,0.9597205,0.015157938003540039,0.015157938003540039
Slovenia,2020,Summer,SVN,5.0,3.5142970085144043,0.7711628,1.4857029914855957,1.4857029914855957
Spain,2020,Summer,ESP,17.0,17.22967529296875,0.9877186,-0.22967529296875,0.22967529296875
Sweden,2020,Summer,SWE,9.0,12.024360656738281,0.98134184,-3.0243606567382812,3.0243606567382812
Switzerland,2020,Summer,CHE,13.0,10.023051261901855,0.95949876,2.9769487380981445,2.9769487380981445
Ukraine,2020,Summer,UKR,19.0,12.586339950561523,0.9817852,6.413660049438477,6.413660049438477
United Kingdom,2020,Summer,GBR,64.0,26.549604415893555,0.9951923,37.450395584106445,37.450395584106445
United States,2020,Summer,USA,113.0,99.45394897460938,0.9960861,13.546051025390625,13.546051025390625
Argentina,2020,Summer,ARG,3.0,8.505264282226562,0.9752714,-5.5052642822265625,5.5052642822265625
Armenia,2020,Summer,ARM,4.0,3.7889716625213623,0.9106912,0.2110283374786377,0.2110283374786377
Azerbaijan,2020,Summer,AZE,7.0,7.678965091705322,0.9360325,-0.6789650917053223,0.6789650917053223
,2020,Summer,BHS,2.0,0.0,0.49708807,2.0,2.0
Bahrain,2020,Summer,BHR,1.0,0.0,0.57042027,1.0,1.0
Bermuda,2020,Summer,BMU,1.0,0.0,0.05140149,1.0,1.0
Botswana,2020,Summer,BWA,1.0,0.0,0.51615137,1.0,1.0
Brazil,2020,Summer,BRA,21.0,19.33411407470703,0.9923167,1.6658859252929688,1.6658859252929688
Bulgaria,2020,Summer,BGR,6.0,5.208207607269287,0.91328406,0.7917923927307129,0.7917923927307129
Burkina Faso,2020,Summer,BFA,1.0,0.0,0.6550065,1.0,1.0
,2020,Summer,TWN,12.0,0.0,0.49708807,12.0,12.0
Colombia,2020,Summer,COL,5.0,3.7638485431671143,0.99449956,1.2361514568328857,1.2361514568328857
Croatia,2020,Summer,HRV,8.0,5.367140293121338,0.9492234,2.632859706878662,2.632859706878662
Cuba,2020,Summer,CUB,15.0,6.9002556800842285,0.8573556,8.099744319915771,8.099744319915771
Cote d'Ivoire,2020,Summer,CIV,1.0,7.780172824859619,0.8347319,-6.780172824859619,6.780172824859619
Denmark,2020,Summer,DNK,11.0,5.89685583114624,0.9658738,5.10314416885376,5.10314416885376
Dominican Republic,2020,Summer,DOM,5.0,2.148139476776123,0.72864664,2.851860523223877,2.851860523223877
Ecuador,2020,Summer,ECU,3.0,0.0,0.70490307,3.0,3.0
"Egypt, Arab Rep.",2020,Summer,EGY,6.0,5.714454650878906,0.9681443,0.28554534912109375,0.28554534912109375
Ethiopia,2020,Summer,ETH,4.0,0.0,0.63612056,4.0,4.0
Fiji,2020,Summer,FJI,2.0,0.0,0.10908448,2.0,2.0
Georgia,2020,Summer,GEO,8.0,6.008361339569092,0.83464926,1.9916386604309082,1.9916386604309082
Ghana,2020,Summer,GHA,1.0,5.570533752441406,0.74694777,-4.570533752441406,4.570533752441406
Greece,2020,Summer,GRC,4.0,6.48862361907959,0.96826124,-2.48862361907959,2.48862361907959
Grenada,2020,Summer,GRD,1.0,0.0,0.70748025,1.0,1.0
"Hong Kong SAR, China",2020,Summer,HKG,6.0,7.886281490325928,0.9777324,-1.8862814903259277,1.8862814903259277
India,2020,Summer,IND,7.0,10.586174011230469,0.98606384,-3.5861740112304688,3.5861740112304688
Indonesia,2020,Summer,IDN,5.0,17.218278884887695,0.9683564,-12.218278884887695,12.218278884887695
Ireland,2020,Summer,IRL,4.0,6.583815097808838,0.9793906,-2.583815097808838,2.583815097808838
"Iran, Islamic Rep.",2020,Summer,IRN,7.0,11.134665489196777,0.97774637,-4.134665489196777,4.134665489196777
Israel,2020,Summer,ISR,4.0,10.704723358154297,0.9643966,-6.704723358154297,6.704723358154297
Jamaica,2020,Summer,JAM,9.0,4.660232067108154,0.84073573,4.339767932891846,4.339767932891846
Jordan,2020,Summer,JOR,2.0,9.837167739868164,0.9672598,-7.837167739868164,7.837167739868164
Kazakhstan,2020,Summer,KAZ,8.0,11.01479721069336,0.9063286,-3.0147972106933594,3.0147972106933594
Kenya,2020,Summer,KEN,10.0,7.39065408706665,0.9308475,2.6093459129333496,2.6093459129333496
Kosovo,2020,Summer,SRB,2.0,0.0,0.6430575,2.0,2.0
Serbia,2020,Summer,SRB,2.0,2.768651247024536,0.83372283,-0.7686512470245361,0.7686512470245361
Kosovo,2020,Summer,SRB,9.0,2.8905258178710938,0.7299051,6.109474182128906,6.109474182128906
Serbia,2020,Summer,SRB,9.0,2.768651247024536,0.83372283,6.231348752975464,6.231348752975464
Kuwait,2020,Summer,KWT,1.0,3.6794769763946533,0.759368,-2.6794769763946533,2.6794769763946533
Kyrgyz Republic,2020,Summer,KGZ,3.0,8.851019859313965,0.84582704,-5.851019859313965,5.851019859313965
